,sex,age,educyr,farm,urban,hhsize,rlfood,exp12m,commune
0,female,68,4.0,no,yes,6,5649.594208179247,75599.88190021981,1
1,female,57,8.0,no,yes,6,11450.08004743148,4939.996985701996,1
2,male,42,14.0,no,yes,6,27620.954923781355,6084.002108841418,1
3,female,72,9.0,no,yes,6,10548.321218143848,10847.999889565444,1
4,female,73,1.0,no,yes,8,14660.176281100039,1911.0001065568408,1
5,female,66,13.0,no,yes,7,11755.000458748635,17848.986377121717,1
6,female,73,2.0,no,yes,9,10688.877565966988,3614.999513446827,1
7,male,46,9.0,no,yes,4,6988.142058721348,324.9999407428408,1
8,male,50,12.0,no,yes,5,16640.75356985948,1820.000400271114,1
9,male,45,12.0,no,yes,4,7619.614066826709,324.9999407428408,1
10,male,75,4.0,no,yes,6,10518.606336534003,3353.9968392483897,1
11,male,44,10.0,no,yes,3,840.4975181343569,925.0002428010383,1
12,male,51,12.0,no,yes,4,8396.128619808536,1429.9989657472215,1
13,female,48,17.0,no,yes,4,16899.984774608172,1950.0006794624235,1
14,male,54,17.0,no,yes,4,15422.102704802583,1728.9991602537946,1
15,male,43,16.0,no,yes,3,19345.38173604725,130.00007144079393,1
16,female,41,13.0,no,yes,4,8749.982680690118,675.9999485949585,1
17,female,70,2.0,no,yes,2,8686.896327702696,594.9997587003993,1
18,male,67,9.0,no,yes,2,4662.686205541604,585.0000893693707,1
19,male,62,9.0,no,yes,7,9547.86644867816,558.9997355063622,1
20,male,74,4.0,no,yes,5,6104.533677954557,3964.9994684166563,1
21,male,70,10.0,no,yes,2,12033.527605212086,117.00000762866277,1
22,male,61,9.0,no,yes,6,7392.86038039476,273.0000559145118,1
23,male,75,5.0,no,yes,3,3742.8064623174805,1300.0005935156187,1
24,female,81,1.0,no,yes,2,8335.30177259668,950.0000146351425,1
25,male,53,12.0,no,yes,9,11055.441177464856,780.0000626467654,1
26,male,60,2.0,no,yes,3,3187.7671572700933,195.00008608008832,1
27,male,74,7.0,no,yes,5,5607.874221180028,702.0004183740052,1
28,male,42,13.0,no,yes,8,9402.087330092105,1968.9998451595682,1
29,female,70,0.0,no,yes,5,9391.609845002475,2509.0011381669037,1
30,female,51,9.0,no,yes,5,27875.40394617438,1624.999846008771,2
31,male,73,3.0,no,yes,2,4613.458169499281,2470.001408834006,2
32,female,62,3.0,no,yes,5,9849.273745238794,195.00008608008832,2
33,female,58,5.0,no,yes,4,13763.54900353822,8189.998551622256,2
35,female,53,9.0,no,yes,6,11110.20128576324,699.9997654696559,2
36,female,65,0.0,no,yes,1,3921.313683558582,1169.999967483592,2
38,male,52,11.0,no,yes,4,10516.607991178882,1559.9998436200185,2
39,male,50,9.0,no,yes,5,11549.044670289239,520.000097980763,2
40,male,71,14.0,no,yes,4,9836.32062601193,12147.006016407298,2
41,male,87,0.0,no,yes,5,6894.449868329915,1105.0004265832847,2
42,male,44,15.0,no,yes,4,11365.389413773646,64.99998245678597,2
43,male,47,14.0,no,yes,5,16930.821546029372,398.99983366097905,2
44,male,27,9.0,no,yes,3,14382.176847014089,1480.000937198219,2
45,male,38,10.0,no,yes,4,10477.296950121145,3310.001759692098,2
46,male,34,13.0,no,yes,4,7881.787521839474,299.00012755621196,2
47,female,70,5.0,no,yes,3,7926.627972130096,650.0004141218382,2
48,male,55,9.0,no,yes,4,9923.341615929201,6824.995768138498,2
49,male,73,2.0,no,yes,3,8545.464898674049,23140.046262745214,2
50,male,39,6.0,no,yes,3,5463.511533401671,2274.999246099134,2
51,female,45,12.0,no,yes,4,5450.741862754967,650.0004141218382,2
52,male,48,10.0,no,yes,7,18586.41097599585,650.0004141218382,2
53,female,45,12.0,no,yes,5,20933.604133118988,9160.00496776086,2
54,female,48,17.0,no,yes,4,28667.231790634247,910.0003644451576,2
55,male,43,9.0,no,yes,3,11891.96213452917,1855.0000462979524,2
56,female,39,15.0,no,yes,4,12239.662718395384,95.00001029794917,2
57,female,74,0.0,no,yes,2,7632.853205093849,2860.000275092264,2
58,male,58,15.0,no,yes,4,10270.869875822305,4359.000208192854,2
59,female,50,14.0,no,yes,8,20913.454775811486,9309.996552776583,2
60,female,54,14.0,no,yes,5,7729.388259782622,3649.9983699960026,3
61,male,85,5.0,no,yes,3,5454.444173271954,130.00007144079393,3
62,female,64,15.0,no,yes,7,14370.35955521815,1307.0003742931954,3
63,female,53,9.0,no,yes,4,6404.639957330876,3964.9994684166563,3
64,male,63,9.0,no,yes,4,9130.155452455703,454.99980937735745,3
65,male,35,12.0,no,yes,4,8940.698525870212,1762.0003409538617,3
66,female,51,18.0,no,yes,4,16114.874396158182,14235.000004097716,3
69,male,73,5.0,no,yes,2,5006.728566221559,1664.0006300218786,3
70,female,64,9.0,no,yes,3,6222.642906071701,903.9996742055308,3
71,male,63,9.0,no,yes,5,7228.992821604412,300.000157603181,3
73,female,55,16.0,no,yes,2,6600.792522683124,39.00001380094624,3
75,male,76,17.0,no,yes,2,6519.0178039052425,5200.000496238527,3
76,male,60,16.0,no,yes,7,21415.430658920814,350.99992156348986,3
77,male,54,17.0,no,yes,7,29703.792195793056,2860.000275092264,3
78,male,71,14.0,no,yes,2,4023.510261603062,3964.9994684166563,3
81,female,40,16.0,no,yes,2,6786.142878398545,337.000023471255,3
82,female,59,5.0,no,yes,2,4510.367884443282,669.9995227022123,3
83,male,47,16.0,no,yes,4,5718.512510826349,99.99998140119261,3
84,male,62,12.0,no,yes,3,10541.477578674501,104.00001048929774,3
85,male,40,15.0,no,yes,4,9315.220926142398,234040.6272509363,3
86,male,48,15.0,no,yes,3,14307.769637633037,940.0001172518009,3
87,male,38,9.0,no,yes,4,8387.795402216338,2.00000003888011,3
88,male,71,16.0,no,yes,4,19041.212727724338,9100.002798205465,3
90,male,64,17.0,no,yes,5,16100.216530797943,29.999988550137516,3
92,male,38,12.0,no,yes,2,8350.778107247372,3614.001911256546,4
93,female,25,12.0,no,yes,5,28643.161426898216,110.99997765433316,4
94,male,70,7.0,no,yes,3,4478.609957861398,117.00000762866277,4
96,female,38,11.0,no,yes,4,12770.204972575506,1365.0003991000415,4
98,male,42,15.0,no,yes,4,7946.509065873995,410.9999118420571,4
99,male,49,15.0,no,yes,4,8521.852280422181,299.00012755621196,4
100,female,64,9.0,no,yes,5,8264.72717474444,1559.9998436200185,4
101,male,71,14.0,no,yes,2,5721.195122217119,130.00007144079393,4
102,male,43,13.0,no,yes,4,15661.065393167693,3250.0023551985582,4
103,male,45,16.0,no,yes,4,10347.342474761219,714.9996119738901,4
104,male,46,8.0,no,yes,4,4987.744088247029,1365.0003991000415,4
105,male,72,16.0,no,yes,2,6386.361628506414,3119.9991238931166,4
106,male,42,17.0,no,yes,4,5532.294903375495,5200.000496238527,4
107,male,56,14.0,no,yes,5,8197.241711346798,207.9999834221266,4
108,male,52,9.0,no,yes,4,7475.266127752092,1950.0006794624235,4
109,male,54,12.0,yes,yes,7,5591.086990896765,14323.001206285053,4
110,male,42,9.0,no,yes,4,16292.627762920967,3999.997439592706,4
112,male,59,15.0,no,yes,9,27590.31267341109,300.000157603181,4
114,male,72,12.0,no,yes,4,6473.291559901002,3536.0020375939475,4
115,male,64,6.0,no,yes,7,8976.766333915353,1429.9989657472215,4
116,male,59,14.0,no,yes,5,6575.651897237752,1105.0004265832847,4
117,female,41,15.0,no,yes,4,7316.299892565634,137.00001016154727,4
118,male,41,10.0,no,yes,5,12141.188993813568,2775.999107164439,4
119,male,51,9.0,no,yes,4,4814.1992154186155,1300.0005935156187,4
120,male,58,15.0,no,yes,2,3884.8280428208927,25.999986011445234,4
121,female,54,3.0,no,yes,8,6998.275216264115,4200.000822059953,4
123,male,67,5.0,no,yes,5,7103.479404766127,1131.0005925128232,4
124,male,44,15.0,no,yes,4,7568.778706041947,39.999981835446675,5
125,male,42,13.0,no,yes,4,10892.361034462985,240.00001839792282,5
126,male,38,10.0,no,yes,4,6279.5713452071395,117.00000762866277,5
127,male,40,15.0,no,yes,5,7602.8085191194505,124.0000538649871,5
128,female,33,17.0,no,yes,2,9178.517700105347,71.9999914308445,5
130,female,67,5.0,no,yes,2,4987.749075993607,39.00001380094624,5
131,male,36,5.0,no,yes,3,8973.292997478078,11849.998263225301,5
133,male,43,13.0,no,yes,6,13465.336558572732,235.00011417615033,5
134,male,37,14.0,no,yes,6,21458.86230283502,1594.00022419586,5
135,male,45,14.0,no,yes,4,3570.878775197881,3250.0023551985582,5
137,male,35,13.0,no,yes,3,6742.020928589294,169.00004817800746,5
138,female,44,15.0,no,yes,8,17274.297809086995,1059.999801667539,5
139,female,56,5.0,no,yes,4,2483.6437130094882,835.0002297495676,5
140,female,55,13.0,no,yes,3,5761.620206573847,182.00005695203214,5
141,male,71,5.0,no,yes,4,11224.071589343803,41650.13962790276,5
142,male,29,12.0,no,yes,4,16114.197585646654,176.0000008732853,5
143,male,36,9.0,no,yes,4,14747.738087372407,39.999981835446675,5
144,male,50,20.0,no,yes,5,8663.499333335894,286.9999380769953,5
145,male,37,15.0,no,yes,4,9106.156479807098,267.00009120714896,5
146,male,59,15.0,no,yes,3,6397.861033689669,104.00001048929774,5
147,female,59,15.0,no,yes,2,6466.67276872414,1196.000078325353,5
148,female,59,15.0,no,yes,1,1771.6383164922672,246.99991685290374,5
150,male,48,14.0,no,yes,6,23668.25552592178,1559.9998436200185,5
151,male,40,13.0,no,yes,6,23318.445996149876,3394.0018809751055,5
152,male,39,9.0,no,yes,2,4194.116546748262,2620.0010565017405,5
153,female,86,0.0,no,yes,2,4798.928774450842,714.9996119738901,5
156,male,65,3.0,no,yes,8,11982.170113928734,1269.999772095172,6
157,female,48,9.0,no,yes,9,14759.3491255914,533.0003069196931,6
